Filename                                              Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover    MC/DC Conditions    Missed Conditions     Cover
test/state/state.cpp                                      295                26    91.19%          30                 2    93.33%         465                26    94.41%         204                18    91.18%                  22                    2    90.91%
test/state/state.hpp                                        3                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -                   0                    0         -
test/state/state_view.hpp                                   2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -                   0                    0         -
test/state/system_contracts.cpp                            26                 1    96.15%           6                 1    83.33%          53                 1    98.11%          14                 0   100.00%                   0                    0         -
test/state/test_state.cpp                                  38                 1    97.37%           9                 0   100.00%          71                 2    97.18%          24                 1    95.83%                   0                    0         -
test/state/test_state.hpp                                   3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -                   0                    0         -
test/state/transaction.cpp                                 47                 4    91.49%           4                 0   100.00%          73                 8    89.04%          26                 3    88.46%                   0                    0         -
test/state/transaction.hpp                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -                   0                    0         -

Files which contain no functions:
lib/evmone/instructions_xmacro.hpp                          0                 0         -           0                 0         -           0                 0         -           0                 0         -                   0                    0         -
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                    7529              2622    65.17%         537                54    89.94%        5753               807    85.97%        2664               988    62.91%                 201                   45    77.61%
